image_a,image_b,label,identity_a,identity_b,pair_type,cosine_similarity
D:\biztech\preprocessed_images\person_164\img_03.jpg,D:\biztech\preprocessed_images\person_164\img_07.jpg,1,person_164,person_164,positive,0.670357
D:\biztech\preprocessed_images\person_168\img_05.jpg,D:\biztech\preprocessed_images\person_168\img_08.jpg,1,person_168,person_168,positive,0.570847
D:\biztech\preprocessed_images\person_100\img_05.jpg,D:\biztech\preprocessed_images\person_100\img_07.jpg,1,person_100,person_100,positive,0.674752
D:\biztech\preprocessed_images\person_147\img_04.jpg,D:\biztech\preprocessed_images\person_147\img_10.jpg,1,person_147,person_147,positive,0.055732
D:\biztech\preprocessed_images\person_229\img_03.jpg,D:\biztech\preprocessed_images\person_388\img_02.jpg,0,person_229,person_388,negative,-0.031083
D:\biztech\preprocessed_images\person_176\img_03.jpg,D:\biztech\preprocessed_images\person_176\img_08.jpg,1,person_176,person_176,positive,0.651164
D:\biztech\preprocessed_images\person_026\img_18.jpg,D:\biztech\preprocessed_images\person_026\img_24.jpg,1,person_026,person_026,positive,0.817311
D:\biztech\preprocessed_images\person_253\img_02.jpg,D:\biztech\preprocessed_images\person_095\img_05.jpg,0,person_253,person_095,negative,0.172128
D:\biztech\preprocessed_images\person_105\img_02.jpg,D:\biztech\preprocessed_images\person_221\img_03.jpg,0,person_105,person_221,negative,0.139739
D:\biztech\preprocessed_images\person_215\img_02.jpg,D:\biztech\preprocessed_images\person_074\img_13.jpg,0,person_215,person_074,negative,0.358632
D:\biztech\preprocessed_images\person_364\img_02.jpg,D:\biztech\preprocessed_images\person_550\img_03.jpg,0,person_364,person_550,negative,-0.108296
D:\biztech\preprocessed_images\person_026\img_26.jpg,D:\biztech\preprocessed_images\person_026\img_30.jpg,1,person_026,person_026,positive,0.160017
D:\biztech\preprocessed_images\person_324\img_02.jpg,D:\biztech\preprocessed_images\person_324\img_04.jpg,1,person_324,person_324,positive,0.547006
D:\biztech\preprocessed_images\person_411\img_01.jpg,D:\biztech\preprocessed_images\person_587\img_04.jpg,0,person_411,person_587,negative,0.147061
D:\biztech\preprocessed_images\person_204\img_01.jpg,D:\biztech\preprocessed_images\person_204\img_04.jpg,1,person_204,person_204,positive,0.629850
D:\biztech\preprocessed_images\person_074\img_01.jpg,D:\biztech\preprocessed_images\person_074\img_02.jpg,1,person_074,person_074,positive,0.793606
D:\biztech\preprocessed_images\person_603\img_02.jpg,D:\biztech\preprocessed_images\person_603\img_04.jpg,1,person_603,person_603,positive,0.816386
D:\biztech\preprocessed_images\person_082\img_13.jpg,D:\biztech\preprocessed_images\person_470\img_03.jpg,0,person_082,person_470,negative,0.144616
D:\biztech\preprocessed_images\person_433\img_01.jpg,D:\biztech\preprocessed_images\person_324\img_02.jpg,0,person_433,person_324,negative,-0.274085
D:\biztech\preprocessed_images\person_603\img_01.jpg,D:\biztech\preprocessed_images\person_603\img_03.jpg,1,person_603,person_603,positive,0.675424
D:\biztech\preprocessed_images\person_217\img_07.jpg,D:\biztech\preprocessed_images\person_217\img_08.jpg,1,person_217,person_217,positive,0.797126
D:\biztech\preprocessed_images\person_081\img_04.jpg,D:\biztech\preprocessed_images\person_081\img_13.jpg,1,person_081,person_081,positive,0.696169
D:\biztech\preprocessed_images\person_353\img_05.jpg,D:\biztech\preprocessed_images\person_465\img_04.jpg,0,person_353,person_465,negative,-0.063963
D:\biztech\preprocessed_images\person_282\img_04.jpg,D:\biztech\preprocessed_images\person_596\img_04.jpg,0,person_282,person_596,negative,0.238481
D:\biztech\preprocessed_images\person_168\img_01.jpg,D:\biztech\preprocessed_images\person_168\img_09.jpg,1,person_168,person_168,positive,0.570434
D:\biztech\preprocessed_images\person_221\img_02.jpg,D:\biztech\preprocessed_images\person_221\img_06.jpg,1,person_221,person_221,positive,0.672002
D:\biztech\preprocessed_images\person_225\img_02.jpg,D:\biztech\preprocessed_images\person_297\img_05.jpg,0,person_225,person_297,negative,-0.155082
D:\biztech\preprocessed_images\person_285\img_03.jpg,D:\biztech\preprocessed_images\person_285\img_04.jpg,1,person_285,person_285,positive,0.391451
D:\biztech\preprocessed_images\person_411\img_01.jpg,D:\biztech\preprocessed_images\person_411\img_02.jpg,1,person_411,person_411,positive,0.370346
D:\biztech\preprocessed_images\person_095\img_02.jpg,D:\biztech\preprocessed_images\person_587\img_02.jpg,0,person_095,person_587,negative,-0.195144
D:\biztech\preprocessed_images\person_058\img_04.jpg,D:\biztech\preprocessed_images\person_058\img_15.jpg,1,person_058,person_058,positive,0.607216
D:\biztech\preprocessed_images\person_221\img_02.jpg,D:\biztech\preprocessed_images\person_221\img_05.jpg,1,person_221,person_221,positive,0.542926
D:\biztech\preprocessed_images\person_239\img_07.jpg,D:\biztech\preprocessed_images\person_389\img_02.jpg,0,person_239,person_389,negative,0.535095
D:\biztech\preprocessed_images\person_374\img_02.jpg,D:\biztech\preprocessed_images\person_374\img_03.jpg,1,person_374,person_374,positive,0.812355
D:\biztech\preprocessed_images\person_374\img_01.jpg,D:\biztech\preprocessed_images\person_164\img_08.jpg,0,person_374,person_164,negative,-0.092540
D:\biztech\preprocessed_images\person_271\img_01.jpg,D:\biztech\preprocessed_images\person_271\img_06.jpg,1,person_271,person_271,positive,0.569951
D:\biztech\preprocessed_images\person_197\img_03.jpg,D:\biztech\preprocessed_images\person_197\img_05.jpg,1,person_197,person_197,positive,0.788543
D:\biztech\preprocessed_images\person_389\img_01.jpg,D:\biztech\preprocessed_images\person_225\img_04.jpg,0,person_389,person_225,negative,-0.106327
D:\biztech\preprocessed_images\person_439\img_02.jpg,D:\biztech\preprocessed_images\person_465\img_04.jpg,0,person_439,person_465,negative,0.110129
D:\biztech\preprocessed_images\person_082\img_02.jpg,D:\biztech\preprocessed_images\person_082\img_14.jpg,1,person_082,person_082,positive,0.656420
D:\biztech\preprocessed_images\person_058\img_08.jpg,D:\biztech\preprocessed_images\person_167\img_03.jpg,0,person_058,person_167,negative,0.063865
D:\biztech\preprocessed_images\person_235\img_04.jpg,D:\biztech\preprocessed_images\person_550\img_03.jpg,0,person_235,person_550,negative,0.199781
